period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
14	24	0	127	0.1417	0.0459	13.0244	0.6538	0.5577	
14	27	0	124	0.1048	0.045	12.5336	0.7075	0.5943	
14	30	0	121	0.0661	0.0265	12.4909	0.7091	0.6	
14	33	0	118	0.0508	0.0357	12.6333	0.7315	0.6204	
14	36	0	115	0	0.0435	12.9186	0.7364	0.6455	
14	39	0	112	0.0089	0.018	12.7729	0.8073	0.6514	
14	42	0	109	0.0092	0.0463	12.5507	0.8058	0.6893	
14	45	0	106	0	0.0472	12.9457	0.8119	0.6733	
14	48	0	103	0	0.0485	13.0605	0.8163	0.6939	
14	51	0	100	0	0.03	12.4876	0.8763	0.7216	
14	54	0	97	0	0	12.8982	0.866	0.701	
14	24	1	126	0	0.0079	14.5271	0.344	0.248	
14	27	1	123	0.0488	0	14.2759	0.2479	0.2051	
14	30	1	120	0.0583	0	13.8501	0.2832	0.2124	
14	33	1	117	0.0513	0	13.7207	0.3423	0.2162	
14	36	1	114	0.0351	0	13.5714	0.3182	0.2	
14	39	1	111	0.018	0.0092	13.5132	0.287	0.2222	
14	42	1	108	0.0185	0.0094	13.7284	0.2571	0.2095	
14	45	1	105	0.0095	0.0288	13.6401	0.2673	0.2376	
14	48	1	102	0.0098	0.0099	13.9437	0.28	0.2	
14	51	1	99	0.0202	0.0206	14.0255	0.2526	0.2	
14	54	1	96	0.0729	0.0225	14.5781	0.2644	0.2069	
14	24	2	125	0.08	0.0087	19.384	0.2193	0.1579	
14	27	2	122	0.1066	0	19.4094	0.2202	0.1468	
14	30	2	119	0.1513	0	19.2181	0.2277	0.1782	
14	33	2	116	0.1724	0	19.0225	0.1979	0.1458	
14	36	2	113	0.1681	0	18.5888	0.234	0.2021	
14	39	2	110	0.1455	0.0213	18.2307	0.163	0.087	
14	42	2	107	0.1028	0.0208	17.7243	0.2553	0.1915	
14	45	2	104	0.0385	0.02	18.2505	0.2347	0.1429	
14	48	2	101	0.0198	0.0303	18.0919	0.2292	0.125	
14	51	2	98	0.0102	0.1031	18.0561	0.2414	0.1494	
14	54	2	95	0.0211	0.0753	18.3465	0.1744	0.1512	
